sample_id,query,generated_code
0,pizza front,"
    # Return the pizza
    image_patch = ImagePatch(image)
    pizza_patches = image_patch.find(""pizza"")
    if len(pizza_patches) == 0:
        pizza_patches = [image_patch]
    pizza_patch = pizza_patches[0]
    # Remember: return the pizza
    return pizza_patch"
1,man on right,"
    # Return the man
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    man_patches.sort(key=lambda man: man.horizontal_center)
    # Remember: return the man
    return man_patches[0]"
2,dude with black shirt on right,"
    # Return the dude
    image_patch = ImagePatch(image)
    dude_patches = image_patch.find(""dude"")
    if len(dude_patches) == 0:
        dude_patches = [image_patch]
    dude_patches_right = [dude for dude in dude_patches if dude.horizontal_center > image_patch.horizontal_center]
    if len(dude_patches_right) == 0:
        dude_patches_right = dude_patches
    dude_patches_right.sort(key=lambda dude: dude.vertical_center)
    dude_patch = dude_patches_right[0]
    # Remember: return the dude
    return dude_patch"
3,man red plaid,"
    # Return the person
    image_patch = ImagePatch(image)
    person_patches = image_patch.find(""person"")
    person_patch = best_image_match(person_patches, [""red plaid""])
    # Remember: return the person
    return person_patch"
4,lady right,"
    # Return the lady
    image_patch = ImagePatch(image)
    lady_patches = image_patch.find(""lady"")
    if len(lady_patches) == 0:
        lady_patches = [image_patch]
    lady_patches.sort(key=lambda lady: lady.horizontal_center)
    # Remember: return the lady
    return lady_patches[len(lady_patches) // 2]  # Return the middle lady"
5,uhhh collard shirt light blue above hand,"
    # Return the collard shirt
    image_patch = ImagePatch(image)
    collard_shirt_patches = image_patch.find(""collard shirt"")
    if len(collard_shirt_patches) == 0:
        collard_shirt_patches = [image_patch]
    elif len(collard_shirt_patches) == 1:
        return collard_shirt_patches[0]
    collard_shirt_patches.sort(key=lambda shirt: shirt.vertical_center)
    collard_shirt_patch = collard_shirt_patches[0]
    # Remember: return the collard shirt
    return collard_shirt_patch"
6,man on ground,"
    # Return the man
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    man_patches.sort(key=lambda man: man.compute_depth())
    man_patch = man_patches[0]
    # Remember: return the man
    return man_patch"
7,left guy,"
    # Return the person
    image_patch = ImagePatch(image)
    person_patches = image_patch.find(""person"")
    person_patches.sort(key=lambda person: person.horizontal_center)
    person_patch = person_patches[0]
    # Remember: return the person
    return person_patch"
8,the man checking out the bowl,"
    # Return the man
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    man_patches.sort(key=lambda man: man.horizontal_center)
    man_patch = man_patches[0]
    # Remember: return the man
    return man_patch"
9,guy sitting left,"
    # Return the person
    image_patch = ImagePatch(image)
    person_patches = image_patch.find(""person"")
    person_patches.sort(key=lambda person: person.horizontal_center)
    person_patch = person_patches[0]
    # Remember: return the person
    return person_patch"
